1000120000,39,12,163,37.50,2,9,-75.689666,4.808548,1414,2,15-06-1994,RES CREG 178 de 2019
10185U0000,40,12,163,45.00,1,9,-75.689387,4.808524,1422,2,21-08-2019,RES CREG 178 de 2019
1000130000,40,12,163,112.50,1,9,-75.689411,4.808516,1422,3,21-08-2019,RES CREG 178 de 2019
1000140000,41,12,163,75.00,1,9,-75.689634,4.808548,1420,2,15-06-2002,RES CREG 178 de 2019
1000150000,42,12,163,75.00,1,9,-75.689997,4.808509,1418,2,15-06-2006,RES CREG 178 de 2019
1000160000,43,12,163,150.00,2,6,-75.690438,4.808473,1412,2,15-06-2008,RES CREG 178 de 2019
1000170000,44,12,163,30.00,1,9,-75.691077,4.808981,1352,2,15-06-1994,RES CREG 178 de 2019
1000180000,45,12,163,75.00,1,9,-75.691392,4.809072,1352,2,15-06-2007,RES CREG 178 de 2019
1000190000,46,12,163,75.00,2,9,-75.691428,4.809488,1408,2,15-06-1998,RES CREG 178 de 2019
10001A0000,47,12,163,10.00,2,9,-75.691250,4.809724,1406,3,30-12-2010,RES CREG 178 de 2019
10001B0000,48,12,163,150.00,1,9,-75.692221,4.809318,1404,2,15-06-2017,RES CREG 178 de 2019
10001C0000,49,12,163,150.00,2,9,-75.688993,4.807954,1424,2,30-06-2014,RES CREG 178 de 2019
10001D0000,50,12,163,15.00,1,9,-75.689250,4.807684,1420,2,15-06-1990,RES CREG 178 de 2019
10001E0000,51,12,163,30.00,2,9,-75.688958,4.807670,1420,2,15-06-1988,RES CREG 178 de 2019
10001F0000,52,12,163,150.00,2,9,-75.689504,4.807126,1410,2,15-06-1987,RES CREG 178 de 2019
10001G0000,53,12,163,75.00,1,9,-75.689532,4.807036,1410,2,15-06-2005,RES CREG 178 de 2019
10001H0000,54,12,163,30.00,1,9,-75.689998,4.806978,1406,2,15-06-1980,RES CREG 178 de 2019
10001I0000,55,22,163,25.00,1,9,-75.690063,4.806719,1404,3,30-12-2017,RES CREG 178 de 2019
10001J0000,56,12,163,112.50,1,9,-75.689968,4.807379,1408,2,30-12-1998,RES CREG 178 de 2019
10001K0000,57,12,163,75.00,2,9,-75.690456,4.807398,1410,2,15-06-2012,RES CREG 178 de 2019
10001L0000,58,12,163,150.00,2,9,-75.690518,4.807413,1410,2,15-06-1980,RES CREG 178 de 2019
10001M0000,59,12,163,150.00,1,9,-75.688522,4.806869,1420,2,15-06-1980,RES CREG 178 de 2019
10001N0000,60,12,163,150.00,2,5,-75.688891,4.806942,1412,2,15-06-1990,RES CREG 178 de 2019
10001O0000,61,12,163,225.00,2,5,-75.689514,4.806636,1404,2,15-06-1994,RES CREG 178 de 2019
10001P0000,62,12,163,112.50,2,5,-75.690261,4.806909,1404,2,15-06-1980,RES CREG 178 de 2019
10001Q0000,63,12,163,75.00,1,9,-75.688049,4.807057,1424,3,15-01-2020,RES CREG 178 de 2019
10187Q0000,64,12,163,150.00,1,9,-75.688050,4.807057,1424,2,31-10-2019,RES CREG 178 de 2019
10001R0000,64,12,163,75.00,1,9,-75.688050,4.807057,1424,3,31-10-2019,RES CREG 178 de 2019
10001S0000,65,12,163,112.50,2,6,-75.687439,4.807554,1426,2,15-06-1994,RES CREG 178 de 2019
10001T0000,66,12,163,45.00,1,9,-75.686825,4.808047,1434,3,24-07-2019,RES CREG 178 de 2019
10001U0000,67,32,163,10.00,1,9,-75.686890,4.807735,1434,3,30-12-2012,RES CREG 178 de 2019
10001V0000,68,12,163,45.00,1,9,-75.686759,4.807998,1434,3,24-07-2019,RES CREG 178 de 2019
10001W0000,69,12,163,75.00,2,9,-75.686697,4.808036,1434,3,24-07-2019,RES CREG 178 de 2019
10001X0000,70,12,163,75.00,1,9,-75.688820,4.808462,1352,2,15-06-2012,RES CREG 178 de 2019
10001Y0000,71,22,163,150.00,1,9,-75.688820,4.808462,1352,3,30-12-2013,RES CREG 178 de 2019
10001Z0000,72,12,163,225.00,2,6,-75.688735,4.808669,1424,2,15-06-1994,RES CREG 178 de 2019
1000200000,73,12,163,75.00,2,9,-75.688654,4.808453,1352,3,31-08-2023,RES CREG 178 de 2019
1000210000,74,12,163,75.00,2,9,-75.688437,4.808451,1352,2,15-06-2003,RES CREG 178 de 2019
1000220000,75,12,163,30.00,1,9,-75.688514,4.807903,1420,2,15-06-2003,RES CREG 178 de 2019
1000230000,76,12,163,30.00,1,9,-75.688450,4.807933,1420,2,15-06-2006,RES CREG 178 de 2019
1000240000,77,12,163,75.00,1,9,-75.688621,4.807966,1422,2,15-06-1998,RES CREG 178 de 2019
1000250000,78,12,163,75.00,1,9,-75.688558,4.807963,1422,2,15-06-2005,RES CREG 178 de 2019
1000260000,79,12,163,75.00,1,5,-75.686493,4.807534,1440,2,15-06-1995,RES CREG 178 de 2019
1000270000,80,12,163,150.00,2,6,-75.688106,4.807809,1422,2,15-06-1992,RES CREG 178 de 2019
1000280000,81,12,163,150.00,2,5,-75.688153,4.807851,1422,2,15-06-1993,RES CREG 178 de 2019
1000290000,82,12,163,30.00,2,9,-75.688160,4.807537,1420,2,10-08-2014,RES CREG 178 de 2019
10002A0000,83,12,163,225.00,2,6,-75.688287,4.807257,1420,2,01-01-1992,RES CREG 178 de 2019
10002B0000,84,12,163,45.00,1,9,-75.688095,4.808450,1426,2,15-06-2001,RES CREG 178 de 2019
10002C0000,85,12,163,75.00,1,9,-75.687893,4.808425,1352,2,15-06-2007,RES CREG 178 de 2019
10002D0000,86,12,163,75.00,1,9,-75.686999,4.808262,1430,2,15-06-1980,RES CREG 178 de 2019
10002E0000,87,32,163,10.00,2,9,-75.686610,4.808123,1434,3,30-12-2011,RES CREG 178 de 2019
10002F0000,88,22,163,30.00,1,9,-75.686609,4.808738,1424,3,30-12-2016,RES CREG 178 de 2019
10002G0000,89,12,163,45.00,1,9,-75.687076,4.808864,1422,2,15-06-2015,RES CREG 178 de 2019
10002H0000,90,22,163,150.00,1,9,-75.686972,4.809035,1422,3,30-12-2016,RES CREG 178 de 2019
10002I0000,91,12,163,45.00,1,9,-75.687253,4.808984,1420,2,15-06-2008,RES CREG 178 de 2019
10002J0000,92,12,163,15.00,1,9,-75.687224,4.808983,1420,2,15-06-2006,RES CREG 178 de 2019
10002K0000,93,12,163,75.00,1,9,-75.685762,4.808057,1430,2,15-06-1986,RES CREG 178 de 2019
10002L0000,94,12,163,250.00,2,9,-75.685682,4.807733,1434,2,01-01-1992,RES CREG 178 de 2019
10002M0000,95,12,163,225.00,2,9,-75.685618,4.807733,1434,2,15-06-1991,RES CREG 178 de 2019
10002N0000,96,12,163,30.00,1,9,-75.685523,4.806780,1442,2,15-06-1993,RES CREG 178 de 2019
10002O0000,97,22,163,150.00,1,6,-75.686080,4.808719,1352,3,30-12-2016,RES CREG 178 de 2019
10002P0000,98,12,163,150.00,2,6,-75.685720,4.806357,1442,2,15-06-1980,RES CREG 178 de 2019
10002Q0000,99,12,163,112.50,1,9,-75.686012,4.806511,1438,2,15-06-2017,RES CREG 178 de 2019
10002R0000,100,12,163,225.00,2,9,-75.686414,4.806485,1438,2,15-06-1994,RES CREG 178 de 2019
10002S0000,101,12,163,30.00,1,9,-75.686612,4.806549,1436,2,15-06-2008,RES CREG 178 de 2019
10002T0000,102,12,163,300.00,2,6,-75.686230,4.806894,1442,2,15-06-1980,RES CREG 178 de 2019
10002U0000,103,12,163,225.00,2,6,-75.686909,4.807002,1440,2,15-06-1980,RES CREG 178 de 2019
10002V0000,104,12,163,45.00,1,6,-75.687233,4.806966,1434,2,15-06-1988,RES CREG 178 de 2019
10002W0000,105,32,163,75.00,1,9,-75.872040,4.882080,1352,2,15-06-1996,RES CREG 178 de 2019
1020110000,106,12,163,15.00,1,9,-75.686702,4.806410,1436,2,05-02-2022,RES CREG 178 de 2019
10002X0000,106,12,163,15.00,1,9,-75.686703,4.806413,1436,3,05-02-2022,RES CREG 178 de 2019
10002Y0000,107,12,163,112.50,2,9,-75.687109,4.806378,1424,2,15-06-1981,RES CREG 178 de 2019
10002Z0000,108,12,163,225.00,2,9,-75.687546,4.806247,1418,2,15-06-1989,RES CREG 178 de 2019
1000300000,109,12,163,300.00,2,5,-75.687510,4.806594,1422,2,15-06-1994,RES CREG 178 de 2019
1000310000,110,12,163,75.00,2,9,-75.687811,4.806316,1416,2,15-06-1980,RES CREG 178 de 2019
1000320000,111,12,163,75.00,2,9,-75.688027,4.806317,1416,2,15-06-1995,RES CREG 178 de 2019
1000330000,112,12,163,150.00,2,9,-75.688506,4.806119,1414,2,15-06-1995,RES CREG 178 de 2019
1000340000,113,22,163,75.00,1,9,-75.685531,4.806350,1444,3,30-12-2016,RES CREG 178 de 2019
1000350000,114,12,163,75.00,2,6,-75.686421,4.805688,1436,2,15-06-2008,RES CREG 178 de 2019
1000360000,115,12,163,150.00,2,6,-75.686830,4.805781,1434,2,15-06-1994,RES CREG 178 de 2019
1000370000,116,12,163,150.00,1,6,-75.686241,4.807156,1442,2,15-06-2006,RES CREG 178 de 2019
1000380000,117,12,163,150.00,2,6,-75.685800,4.805221,1432,2,30-12-1990,RES CREG 178 de 2019
1000390000,118,12,163,112.50,1,9,-75.687209,4.805746,1424,2,15-06-2006,RES CREG 178 de 2019
10003A0000,119,12,163,112.50,1,6,-75.681057,4.808355,1352,2,15-06-2004,RES CREG 178 de 2019
10003B0000,120,12,163,300.00,2,9,-75.681553,4.808274,1456,2,15-06-1993,RES CREG 178 de 2019
10003C0000,121,12,163,45.00,1,9,-75.682059,4.808037,1452,2,30-06-2007,RES CREG 178 de 2019
10003D0000,122,12,163,112.50,2,9,-75.682888,4.807662,1448,2,15-06-1987,RES CREG 178 de 2019
10003E0000,123,12,163,45.00,1,5,-75.687510,4.808169,1426,2,01-01-1996,RES CREG 178 de 2019
10003F0000,124,12,163,225.00,2,5,-75.687761,4.808640,1426,2,01-01-1983,RES CREG 178 de 2019
10003G0000,125,12,163,15.00,1,9,-75.684683,4.806771,1352,2,15-06-1980,RES CREG 178 de 2019
10003H0000,126,12,163,225.00,1,5,-75.684999,4.806564,1446,2,15-06-2009,RES CREG 178 de 2019
10003I0000,127,12,163,75.00,1,9,-75.685098,4.806790,1444,2,15-06-1980,RES CREG 178 de 2019
10003J0000,128,12,163,100.00,2,9,-75.685449,4.806944,1442,2,15-06-1980,RES CREG 178 de 2019
10003K0000,129,12,163,45.00,2,6,-75.683187,4.807048,1450,2,15-06-2012,RES CREG 178 de 2019
10003L0000,130,32,163,75.00,1,9,-75.757702,4.761594,1352,2,15-06-1980,RES CREG 178 de 2019
1018930000,131,12,163,45.00,1,9,-75.684376,4.807375,1446,2,21-01-2020,RES CREG 178 de 2019
10003M0000,131,12,163,225.00,1,9,-75.684376,4.807375,1446,3,21-01-2020,RES CREG 178 de 2019
10003N0000,132,12,163,225.00,2,9,-75.684673,4.807313,1444,2,15-06-1993,RES CREG 178 de 2019
10003O0000,133,12,163,112.50,2,9,-75.684304,4.807041,1448,2,15-06-1987,RES CREG 178 de 2019
10003P0000,134,12,163,45.00,1,9,-75.684414,4.806255,1448,2,15-06-1998,RES CREG 178 de 2019
10003Q0000,135,12,163,45.00,1,9,-75.684297,4.806246,1448,2,15-06-1998,RES CREG 178 de 2019
10003R0000,136,12,163,112.50,2,6,-75.682907,4.806993,1454,2,15-06-1982,RES CREG 178 de 2019
10003S0000,137,12,163,112.50,1,9,-75.682726,4.807273,1454,2,15-06-2007,RES CREG 178 de 2019
10003T0000,138,12,163,75.00,1,9,-75.682701,4.806676,1454,2,15-06-1999,RES CREG 178 de 2019
10214F0000,139,12,163,112.50,1,9,-75.682201,4.807441,1456,2,29-07-2013,RES CREG 178 de 2019
10003U0000,139,12,163,75.00,1,9,-75.682203,4.807444,1456,3,13-10-2023,RES CREG 178 de 2019
10003V0000,140,12,163,45.00,1,9,-75.682061,4.806621,1458,2,15-06-2006,RES CREG 178 de 2019
10003W0000,141,12,163,75.00,1,9,-75.681658,4.807107,1352,2,15-06-1980,RES CREG 178 de 2019
10214Z0000,142,12,163,30.00,1,9,-75.681600,4.806891,1352,2,15-06-2013,RES CREG 178 de 2019
10003X0000,142,12,163,75.00,1,9,-75.681604,4.806890,1352,3,13-10-2023,RES CREG 178 de 2019
10003Y0000,143,12,163,112.50,1,9,-75.681500,4.807453,1458,2,15-06-2001,RES CREG 178 de 2019
10003Z0000,144,12,163,112.50,2,6,-75.682241,4.806934,1352,2,15-06-2000,RES CREG 178 de 2019
1000400000,145,12,163,225.00,2,6,-75.682349,4.806622,1456,2,15-06-1994,RES CREG 178 de 2019
1000410000,146,12,163,75.00,1,9,-75.682350,4.806278,1454,2,15-06-2006,RES CREG 178 de 2019
1000420000,147,12,163,75.00,1,9,-75.682631,4.805637,1442,2,15-06-1980,RES CREG 178 de 2019
1000430000,148,12,163,75.00,1,9,-75.683667,4.805792,1444,2,30-06-2017,RES CREG 178 de 2019
1000440000,149,12,163,112.50,1,9,-75.683531,4.806154,1448,2,15-06-1995,RES CREG 178 de 2019
1000450000,150,12,163,112.50,2,9,-75.683414,4.806190,1450,2,15-06-1992,RES CREG 178 de 2019
1000460000,151,12,163,400.00,1,6,-75.683338,4.805297,1438,2,15-06-1995,RES CREG 178 de 2019
1000470000,152,12,163,250.00,1,6,-75.683722,4.804997,1436,2,15-06-1992,RES CREG 178 de 2019
1000480000,153,12,163,75.00,1,6,-75.683426,4.804725,1436,2,15-06-2007,RES CREG 178 de 2019
1000490000,154,12,163,150.00,1,6,-75.683939,4.804717,1436,2,15-06-1994,RES CREG 178 de 2019
10177F0000,155,12,163,25.00,1,9,-75.684175,4.804211,1436,2,15-06-1980,RES CREG 178 de 2019
10004A0000,156,12,163,30.00,1,9,-75.684186,4.804635,1352,2,15-06-1980,RES CREG 178 de 2019
10004B0000,157,12,163,10.00,1,9,-75.684218,4.804636,1352,2,12-12-2005,RES CREG 178 de 2019
10004C0000,158,12,163,75.00,2,9,-75.684435,4.804646,1352,2,15-06-2003,RES CREG 178 de 2019
10004D0000,159,12,163,25.00,1,9,-75.684850,4.804665,1436,2,15-06-2016,RES CREG 178 de 2019
10004E0000,160,12,163,10.00,1,9,-75.684994,4.804683,1436,2,15-06-1980,RES CREG 178 de 2019
10004F0000,161,12,163,75.00,1,9,-75.685147,4.804693,1436,2,15-06-1988,RES CREG 178 de 2019
10004G0000,162,12,163,75.00,1,5,-75.685679,4.804532,1428,2,15-06-2004,RES CREG 178 de 2019
10004H0000,163,12,163,225.00,2,6,-75.683614,4.805286,1436,2,15-06-1985,RES CREG 178 de 2019
10004I0000,164,12,163,112.50,2,6,-75.683630,4.806308,1450,2,15-06-1998,RES CREG 178 de 2019
10004J0000,165,12,163,112.50,2,6,-75.683288,4.806045,1448,2,15-06-1980,RES CREG 178 de 2019
10004K0000,166,22,163,25.00,1,5,-75.686743,4.808520,1426,3,30-12-2016,RES CREG 178 de 2019
10004L0000,167,22,163,30.00,1,5,-75.689720,4.808326,1420,3,30-12-2018,RES CREG 178 de 2019
10004M0000,168,12,163,225.00,2,5,-75.691284,4.809216,1352,2,15-06-1992,RES CREG 178 de 2019
10004N0000,169,12,163,150.00,2,5,-75.741439,4.801581,1262,2,15-06-2012,RES CREG 178 de 2019
10004O0000,170,22,163,25.00,1,9,-75.742436,4.800704,1352,3,30-12-2014,RES CREG 178 de 2019
10184K0000,171,12,163,45.00,2,9,-75.743829,4.799551,1352,2,12-12-2019,RES CREG 178 de 2019
10004P0000,171,12,163,45.00,2,9,-75.743584,4.799589,1352,3,12-12-2019,RES CREG 178 de 2019
10004Q0000,172,12,163,75.00,1,9,-75.749792,4.800979,1352,2,15-06-1994,RES CREG 178 de 2019
10004R0000,173,12,163,30.00,1,9,-75.751515,4.800563,1272,2,15-06-1989,RES CREG 178 de 2019
10004S0000,174,12,163,112.50,1,9,-75.740001,4.801999,1279,2,11-04-2013,RES CREG 178 de 2019
10004T0000,175,12,163,112.50,1,9,-75.739148,4.801205,1284,2,15-10-2013,RES CREG 178 de 2019
10004U0000,176,12,163,75.00,1,9,-75.738789,4.801056,1285,2,04-05-2013,RES CREG 178 de 2019
10004V0000,177,12,163,75.00,1,9,-75.741035,4.800827,1263,2,18-02-2013,RES CREG 178 de 2019
10004W0000,178,12,163,150.00,1,9,-75.739300,4.802938,1266,2,20-02-2014,RES CREG 178 de 2019
