CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Departamento,Municipio,IdParametro,Frecuencia,Fecha,Valor
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,11/02/2024,0.8
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,12/02/2024,0
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,13/02/2024,0
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,14/02/2024,0
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,15/02/2024,0
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,16/02/2024,0.2
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,17/02/2024,11
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,18/02/2024,0.6
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,19/02/2024,1
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,20/02/2024,0.7
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,21/02/2024,0.2
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,22/02/2024,11.5
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,23/02/2024,6.8
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,24/02/2024,7.6
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,25/02/2024,2.1
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,26/02/2024,3.4
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,27/02/2024,0
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,28/02/2024,0
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,29/02/2024,0
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,01/03/2024,0.5
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,02/03/2024,0
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,03/03/2024,0
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,04/03/2024,0
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,05/03/2024,5.6
23195502,AEROPUERTO PALONEGRO AUT [23195502],7.1214722220,-73.18452778,1189,Santander,Lebrija,PRECIPITACION,Diaria,06/03/2024,0
