CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-01 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-02 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-03 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-04 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-05 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-06 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-07 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-08 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-09 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-10 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-11 00:00,0,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-12 00:00,80.8,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-13 00:00,60.4,50,,900
23195200,CACHIRI  - AUT [23195200],7.473890,-72.991110,1885,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 08 - Santanderes-Arauca,Santander,Suratá,15/06/1971 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2022-01-14 00:00,0,50,,900
